,Company Name,Industry,Symbol
0,3M India Ltd.,Diversified,3MINDIA
1,ABB India Ltd.,Capital Goods,ABB
2,ACC Ltd.,Construction Materials,ACC
3,AIA Engineering Ltd.,Capital Goods,AIAENG
4,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
5,AU Small Finance Bank Ltd.,Financial Services,AUBANK
6,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS
7,Aavas Financiers Ltd.,Financial Services,AAVAS
8,Abbott India Ltd.,Healthcare,ABBOTINDIA
9,Adani Enterprises Ltd.,Metals & Mining,ADANIENT
10,Adani Green Energy Ltd.,Power,ADANIGREEN
11,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
12,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL
13,Adani Transmission Ltd.,Power,ADANITRANS
14,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL
15,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL
16,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL
17,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC
18,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM
19,Aether Industries Ltd.,Chemicals,AETHER
20,Affle (India) Ltd.,Information Technology,AFFLE
21,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM
22,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD
23,Alkem Laboratories Ltd.,Healthcare,ALKEM
24,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE
25,Allcargo Logistics Ltd.,Services,ALLCARGO
26,Alok Industries Ltd.,Textiles,ALOKINDS
27,Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT
28,Amber Enterprises India Ltd.,Consumer Durables,AMBER
29,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM
30,Angel One Ltd.,Financial Services,ANGELONE
31,Anupam Rasayan India Ltd.,Chemicals,ANURAS
32,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
33,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE
34,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS
35,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA
36,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
37,Asian Paints Ltd.,Consumer Durables,ASIANPAINT
38,Aster DM Healthcare Ltd.,Healthcare,ASTERDM
39,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN
40,Astral Ltd.,Capital Goods,ASTRAL
41,Atul Ltd.,Chemicals,ATUL
42,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA
43,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED
44,Avenue Supermarts Ltd.,Consumer Services,DMART
45,Axis Bank Ltd.,Financial Services,AXISBANK
46,BASF India Ltd.,Chemicals,BASF
47,BSE Ltd.,Financial Services,BSE
48,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO
49,Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC
50,Bajaj Finance Ltd.,Financial Services,BAJFINANCE
51,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV
52,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG
53,Balaji Amines Ltd.,Chemicals,BALAMINES
54,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND
55,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN
56,Bandhan Bank Ltd.,Financial Services,BANDHANBNK
57,Bank of Baroda,Financial Services,BANKBARODA
58,Bank of India,Financial Services,BANKINDIA
59,Bank of Maharashtra,Financial Services,MAHABANK
60,Bata India Ltd.,Consumer Durables,BATAINDIA
61,Bayer Cropscience Ltd.,Chemicals,BAYERCROP
62,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT
63,Bharat Dynamics Ltd.,Capital Goods,BDL
64,Bharat Electronics Ltd.,Capital Goods,BEL
65,Bharat Forge Ltd.,Capital Goods,BHARATFORG
66,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL
67,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
68,Bharat Rasayan Ltd.,Chemicals,BHARATRAS
69,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL
70,Biocon Ltd.,Healthcare,BIOCON
71,Birla Corporation Ltd.,Construction Materials,BIRLACORPN
72,Birlasoft Ltd.,Information Technology,BSOFT
73,Blue Dart Express Ltd.,Services,BLUEDART
74,Blue Star Ltd.,Consumer Durables,BLUESTARCO
75,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC
76,Borosil Renewables Ltd.,Capital Goods,BORORENEW
77,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD
78,Brigade Enterprises Ltd.,Realty,BRIGADE
79,Brightcom Group Ltd.,Information Technology,BCG
80,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA
81,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA
82,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL
83,CESC Ltd.,Power,CESC
84,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER
85,CRISIL Ltd.,Financial Services,CRISIL
86,CSB Bank Ltd.,Financial Services,CSBBANK
87,Campus Activewear Ltd.,Consumer Durables,CAMPUS
88,Can Fin Homes Ltd.,Financial Services,CANFINHOME
89,Canara Bank,Financial Services,CANBK
90,Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT
91,Capri Global Capital Ltd.,Financial Services,CGCL
92,Carborundum Universal Ltd.,Capital Goods,CARBORUNIV
93,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND
94,Ceat Ltd.,Automobile and Auto Components,CEATLTD
95,Central Bank of India,Financial Services,CENTRALBK
96,Central Depository Services (India) Ltd.,Financial Services,CDSL
97,Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY
98,Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX
99,Cera Sanitaryware Ltd,Consumer Durables,CERA
100,Chalet Hotels Ltd.,Consumer Services,CHALET
101,Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT
102,Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS
103,Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG
104,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN
105,Cipla Ltd.,Healthcare,CIPLA
106,City Union Bank Ltd.,Financial Services,CUB
107,Clean Science and Technology Ltd.,Chemicals,CLEAN
108,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
109,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP
110,Coforge Ltd.,Information Technology,COFORGE
111,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL
112,Computer Age Management Services Ltd.,Financial Services,CAMS
113,Container Corporation of India Ltd.,Services,CONCOR
114,Coromandel International Ltd.,Chemicals,COROMANDEL
115,CreditAccess Grameen Ltd.,Financial Services,CREDITACC
116,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON
117,Cummins India Ltd.,Capital Goods,CUMMINSIND
118,Cyient Ltd.,Information Technology,CYIENT
119,DCM Shriram Ltd.,Diversified,DCMSHRIRAM
120,DLF Ltd.,Realty,DLF
121,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR
122,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT
123,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT
124,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR
125,Delhivery Ltd.,Services,DELHIVERY
126,Delta Corp Ltd.,Consumer Services,DELTACORP
127,Devyani International Ltd.,Consumer Services,DEVYANI
128,Dhani Services Ltd.,Financial Services,DHANI
129,Dilip Buildcon Ltd.,Construction,DBL
130,Divi's Laboratories Ltd.,Healthcare,DIVISLAB
131,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON
132,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB
133,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY
134,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY
135,EIH Ltd.,Consumer Services,EIHOTEL
136,EPL Ltd.,Capital Goods,EPL
137,Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP
138,Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS
139,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT
140,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP
141,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD
142,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE
143,Engineers India Ltd.,Construction,ENGINERSIN
144,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK
145,Escorts Kubota Ltd.,Capital Goods,ESCORTS
146,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND
147,FDC Ltd.,Healthcare,FDC
148,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA
149,Federal Bank Ltd.,Financial Services,FEDERALBNK
150,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT
151,Fine Organic Industries Ltd.,Chemicals,FINEORG
152,Finolex Cables Ltd.,Capital Goods,FINCABLES
153,Finolex Industries Ltd.,Capital Goods,FINPIPE
154,Firstsource Solutions Ltd.,Information Technology,FSL
155,Fortis Healthcare Ltd.,Healthcare,FORTIS
156,G R Infraprojects Ltd.,Construction,GRINFRA
157,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL
158,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR
159,GMR Airports Infrastructure Ltd.,Services,GMRINFRA
160,Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF
161,Garware Technical Fibres Ltd.,Textiles,GARFIBRES
162,General Insurance Corporation of India,Financial Services,GICRE
163,Gland Pharma Ltd.,Healthcare,GLAND
164,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO
165,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK
166,Go Fashion (India) Ltd.,Consumer Services,GOCOLORS
167,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP
168,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO
169,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP
170,Godrej Industries Ltd.,Fast Moving Consumer Goods,GODREJIND
171,Godrej Properties Ltd.,Realty,GODREJPROP
172,Granules India Ltd.,Healthcare,GRANULES
173,Graphite India Ltd.,Capital Goods,GRAPHITE
174,Grasim Industries Ltd.,Construction Materials,GRASIM
175,Great Eastern Shipping Co. Ltd.,Services,GESHIP
176,Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL
177,Grindwell Norton Ltd.,Capital Goods,GRINDWELL
178,Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI
179,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL
180,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM
181,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD
182,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC
183,Gujarat Pipavav Port Ltd.,Services,GPPL
184,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC
185,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL
186,H.E.G. Ltd.,Capital Goods,HEG
187,HCL Technologies Ltd.,Information Technology,HCLTECH
188,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC
189,HDFC Bank Ltd.,Financial Services,HDFCBANK
190,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE
191,HFCL Ltd.,Telecommunication,HFCL
192,HLE Glascoat Ltd.,Capital Goods,HLEGLAS
193,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS
194,Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,HATSUN
195,Havells India Ltd.,Consumer Durables,HAVELLS
196,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO
197,Hikal Ltd.,Healthcare,HIKAL
198,Hindalco Industries Ltd.,Metals & Mining,HINDALCO
199,Hinduja Global Solutions Ltd.,Services,HGS
200,Hindustan Aeronautics Ltd.,Capital Goods,HAL
201,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER
202,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
203,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR
204,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC
205,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA
206,Home First Finance Company India Ltd.,Financial Services,HOMEFIRST
207,Honeywell Automation India Ltd.,Capital Goods,HONAUT
208,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO
209,Housing Development Finance Corporation Ltd.,Financial Services,HDFC
210,ICICI Bank Ltd.,Financial Services,ICICIBANK
211,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI
212,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI
213,ICICI Securities Ltd.,Financial Services,ISEC
214,IDBI Bank Ltd.,Financial Services,IDBI
215,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB
216,IDFC Ltd.,Financial Services,IDFC
217,IFB Industries Ltd.,Consumer Durables,IFBIND
218,IIFL Finance Ltd.,Financial Services,IIFL
219,IIFL Wealth Management Ltd.,Financial Services,IIFLWAM
220,IRB Infrastructure Developers Ltd.,Construction,IRB
221,ITC Ltd.,Fast Moving Consumer Goods,ITC
222,ITI Ltd.,Telecommunication,ITI
223,India Cements Ltd.,Construction Materials,INDIACEM
224,Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN
225,Indiabulls Real Estate Ltd.,Realty,IBREALEST
226,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART
227,Indian Bank,Financial Services,INDIANB
228,Indian Energy Exchange Ltd.,Financial Services,IEX
229,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL
230,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC
231,Indian Overseas Bank,Financial Services,IOB
232,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC
233,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC
234,Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS
235,Indoco Remedies Ltd.,Healthcare,INDOCO
236,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL
237,Indus Towers Ltd.,Telecommunication,INDUSTOWER
238,IndusInd Bank Ltd.,Financial Services,INDUSINDBK
239,Infibeam Avenues Ltd.,Financial Services,INFIBEAM
240,Info Edge (India) Ltd.,Consumer Services,NAUKRI
241,Infosys Ltd.,Information Technology,INFY
242,Inox Leisure Ltd.,Media Entertainment & Publication,INOXLEISUR
243,Intellect Design Arena Ltd.,Information Technology,INTELLECT
244,InterGlobe Aviation Ltd.,Services,INDIGO
245,Ipca Laboratories Ltd.,Healthcare,IPCALAB
246,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM
247,J.K. Cement Ltd.,Construction Materials,JKCEMENT
